job_id,company,title,location,url,source
greenhouse_7390229,stripe,"Content Marketing Lead, Bridge",San Francisco or New York,https://stripe.com/jobs/search?gh_jid=7390229,greenhouse
greenhouse_7522229,stripe,Contracting Operations Specialist,Bengaluru,https://stripe.com/jobs/search?gh_jid=7522229,greenhouse
greenhouse_7521170,stripe,Corporate Paralegal,"SF Bay Area, US-National",https://stripe.com/jobs/search?gh_jid=7521170,greenhouse
greenhouse_6696826,stripe,Corporate Strategy,"San Francisco, New York City ",https://stripe.com/jobs/search?gh_jid=6696826,greenhouse
greenhouse_7398720,stripe,Credit Operations Analyst,Dublin,https://stripe.com/jobs/search?gh_jid=7398720,greenhouse
greenhouse_7369351,stripe,Credit Operations Analyst ,"Toronto, CA- Atlanta, GA or Chicago, IL",https://stripe.com/jobs/search?gh_jid=7369351,greenhouse
greenhouse_7369353,stripe,Credit Operations Manager,"Chicago, IL",https://stripe.com/jobs/search?gh_jid=7369353,greenhouse
greenhouse_5536633,stripe,Credit Risk Associate,Bangalore ,https://stripe.com/jobs/search?gh_jid=5536633,greenhouse
greenhouse_6942920,stripe,Credit Risk Operations Associate (CDMX),Mexico,https://stripe.com/jobs/search?gh_jid=6942920,greenhouse
greenhouse_7275649,stripe,"Credit Risk Strategist, Risk Foundations","Chicago, US-Remote, Toronto",https://stripe.com/jobs/search?gh_jid=7275649,greenhouse
greenhouse_7174007,stripe,"Credit Risk Strategy Analyst, Capital",NYC,https://stripe.com/jobs/search?gh_jid=7174007,greenhouse
greenhouse_7438078,stripe,Crypto Accounting Team Lead,"San Francisco, Seattle",https://stripe.com/jobs/search?gh_jid=7438078,greenhouse
greenhouse_7522783,stripe,Customer Success Manager,London,https://stripe.com/jobs/search?gh_jid=7522783,greenhouse
greenhouse_6558993,stripe,"Customer Success Manager, Enterprise",Atlanta ,https://stripe.com/jobs/search?gh_jid=6558993,greenhouse
greenhouse_7454621,stripe,Customer Success Manager (Japan),Japan,https://stripe.com/jobs/search?gh_jid=7454621,greenhouse
